(' hours on the phone yesterday really still doesn t pick up status on us air flight ', 'negative'),
(' i understand thatbut i m not even being put on hold it says try again late flightrgoodbye ', 'negative'),
(' on top of no free tv on the intl legnow im sitting on the tarmac in houston min past departure wanother hr plus to go ', 'negative'),
(' @robbogart after i waited hours in the airport being told one fib after the other why can t ual be honest with its customers ', 'negative'),
(' reallyhours@jenniferwalshpr we don t like delays and do all we can to avoid them we ll have you on your way asap', 'negative'),
(' i am so happy i found my phone because this is easily the worst system i have ever heard of', 'negative'),
(' dtv doesnt workpilots late flightwont let yr old fly next me and i paid an upgrade', 'negative'),
(' flt lax to ewr your pilot bragged about getting to ewr early only to wait min for a jetway driver thanks united ', 'negative'),
(' i do not need an apology i need you to fix it in a competent manner ', 'negative'),
(' i like the call back system but thought you d like to know it s not working well i received three calls but there s no audio ', 'negative'),
(' u kept passengers waiting all night a plane that was being put out of service leaving everyone stranded for night #inexcusable', 'negative'),
(' i need to be back home tomorrow and no one is helping me please help me rebook for a flight tomorrow ', 'negative'),
(' your loyalty team basically flipped me offphonebut thanks maybe google loyalty and get back to me lol ', 'negative'),
(' your staff at laguardia and lagosnigeria were unprofessionaluncaring and not helpful ou ', 'negative'),
(' filed a pir with an agent at indianapolis airport unable to pull up information online on your site have dmed details ', 'negative'),
(' tisk tisk rude flight attendants yet again i can t hang my suit up because i didn t buy first classwhen will i learn', 'negative'),
(' i would appreciate an answer on why we weren t alerted flight had been cancelled flighted until plane landed #showsomerespect', 'negative'),
(' wtf delay after delay hours yvr to san unacceptable flight crew availability is to blame never again with ', 'negative'),
(' i think i left my phone on my flight help ', 'negative'),
(' at lax and your service reps just hand out the number to call so that s not helpful ', 'negative'),
(' @nickcunninghamexcept now there is no wait timethe phone system just hangs up on you so continuing to hold won t help ', 'negative'),
(' extend rtn flight to bereavement i could have change fee droppednow told no worse day of my life', 'negative'),
(' unsmiling rep told us hotel shuttle comes like every minutes breezy min late flightr we re taking a cab you going to reimburse ', 'negative'),
(' i would like a supervisor to talk to now we are waiting for a flight attendant as one just walked offleft ', 'negative'),
(' rebooked hours after original flightto say your handling of situation was bad would be an understatement ', 'negative'),
(' if someone misses his connecting flight because of the airlineand it was the last flight of the dayhow will you fix it ', 'negative'),
(' i ve tried ten times now last night and this morning how many times should i try have meetings to make tonight in atx ', 'negative'),
(' yes i needed plenty of assistance but received none ', 'negative'),
(' not tonightwe got a hotel and after hrs of traveling and still not reaching our destination we are disappointed thanks ', 'negative'),
(' thank you for the reply i emailed your customer care department about my experience ', 'negative'),
(' is the difference between the booked flightsdo you want screen shots ', 'negative'),
(' how can i file a claim when your agents won t let me speak to a supervisor my claim number is expired because you won t find my bag', 'negative'),
(' cannot provide us alternative flight until hours late flightr ruining our trip #cancelled flightled #angry #problems #ruined ', 'negative'),
(' been on hold for for over two hours after waiting hours earlier can t get any info on my reservation how is that ok ', 'negative'),
(' i have still not talked to anyone you guys should be prepared for these situations how is this good service i am so mad ', 'negative'),
(' thanks formed submitted i m not betting someone would be honest enough to turn it in though ', 'negative'),
(' #horriblecustomerservice # rudestaff # incompetentmanagers', 'negative'),
(' here is my case id requested on now it s days i ll get a responsebs ', 'negative'),
(' they were empty upon takeoff why can t someone sit there ', 'negative'),
(' i had one interview i was the last person what does that mean ', 'negative'),
(' heyleft my computer bagw computer insidein unitedfiled online reportno response ', 'negative'),
(' i have flown with you times in the last days out of flights have been delayed huge mistake on my part don t fly united', 'negative'),
(' no i do not have them yet called for baggage status times yesterday ', 'negative'),
(' yes but taking two days to get bag delivered missed a full day skiing because of this ', 'negative'),
(' i understand you are busy but i have still gotten no answer i need to get home and you guys have not helped at all', 'negative'),
(' interested in possibly changing my flight to another day need to see if there are any fees but your number is busy', 'negative'),
(' @eleonoragood luck i ve been waiting a week', 'negative'),
(' thanks that was donei just don t understand why those whose bags couldn t fit aren t notified in air at landing #technology ', 'negative'),
(' @dmbshows i need this plane to get to buffalo so i can leave tonight any progress ', 'negative'),
(' time in a row i ve been over charged by s of on my plane ticket whyi shouldn t have to check my cc everytime', 'negative'),
(' wth be honest with your customers this better be the last change or we are driving home has our plane left or not ', 'negative'),
(' you re running hours behind replying to anyonetwitter this is beyond unacceptable i m running out of time ', 'negative'),
(' i believe just customer service at last post he was at narita in tokyo they sent him to a motel to rest said standby maybedays', 'negative'),
(' terribly disappointed confirmed reservation delayed and your cust service staff was not helpful in finding an alternate solution ', 'negative'),
(' no date on when revieving our money sent a letter in post and several emails no reply very frustrated', 'negative'),
(' husbandi complain about same flight he gets voucheri get nothing because he flew biz who do i email about this ', 'negative'),
(' flight rolling delay of hour minutes', 'negative'),
(' stranded in miami because your automated system keeps hanging up on me for two days help ', 'negative'),
(' is flight cancelled flighted or not no word from the ground staff ', 'negative'),
(' you just tried to charge for a flight when i tried to make a change over the phonenot including change fee wtf ', 'negative'),
(' @mwangbickler we apologize for your frustrationsmichael have you been rebookedgot call back after hours bad ', 'negative'),
(' i m trying to register since don t want to be separated from my brother during thehours flight there re few places left ', 'negative'),
(' trying to get thru to agent since last night b c aa changed our flight to days from now infuriating we need to get to sea ', 'negative'),
(' cleaning a regional jet takes an hour ', 'negative'),
(' i get that but doing it by giving inaccurate misleading info doesn t seem like a great way to do it #hopethegearmakesitintact', 'negative'),
(' i m familiar with the procedure it wouldn t be the first time lost one of my bags #unhappytraveler', 'negative'),
(' called last nightafter hrs got call backcan i get a one day pass to admirals club i m going to be spendinghrs in dfw ', 'negative'),
(' how can i get you guys to respond to my tweets andreally sad feeling to be ignored ', 'negative'),
(' why the hell do my miles expire was really looking forward to accruing enough for a free flight in years ', 'negative'),
(' i am still waiting for that call back stranded and no one to talk to', 'negative'),
(' times my flight has been delayed and i miss my next flight this time you ve lost my baggage no clean clothes flight thx ', 'negative'),
(' i was told my flights was cancelled flightled but i don t seem to have any date time changes i ve been waiting for a call ', 'negative'),
(' this is besides the fact that one week ago you delayed me by hours i am not impressed at all ', 'negative'),
(' trying to talk customer service to add lap child and can t get a hold of anybody i need help ', 'negative'),
(' i log inview reservationstry view specific reservationtakes me back to login page', 'negative'),
(' its my one and only checked bagwhich is checked to edinburghhowever i am being charged randomly from dc to newark ', 'negative'),
(' @active_aly thx we have already been on the iberia websiteand seat reservation is unavailable hopefully we can call them ', 'negative'),
(' why can i only apply one travel certificate per itinerary even when i have multiple flights ', 'negative'),
(' notsurehowever my ticket included one checked bagtherefore this charge was extra and completely unanticipated ', 'negative'),
(' with the purchase of my ticket i am entitled to check in bag however i am being charged an extra dollars for domestic transport', 'negative'),
(' pathetic answer just found out my bag has been sitting at lga for hours and no call from you to lmk or delivery of bag bad', 'negative'),
(' how is it possible that your call system can refuse callers for over twelve hours what service options does that leave ', 'negative'),
(' that may be true however after weeks matter is still unresolved and i can not get through to a supervisor or manager to help', 'negative'),
(' nice to know that hours of my time is worth free directtv for everyone ever hear of preventative maintenance ', 'negative'),
(' thank you mr parker for screwing over chairman preferred when we fly aa no #firstclass option and treated like crap by staff', 'negative'),
(' flight my frustration boiled over after dealing with attendant her attitude was ridiculous ', 'negative'),
(' you need to get it together of flights cancelled flightled stranded with no car and my baggage is lost you never get it right ', 'negative'),
(' even when i did get throughno one knew anything about my bag this is ridiculousi still don t have my bag from saturday ', 'negative'),
(' it s worth saying thatif you litter in singaporeyou get caned but there are rules says ', 'negative'),
(' once again i am victim to the scam that is your shit customer servicethis time the agent hung up on me wtf do you teach your staff ', 'negative'),
(' not sure why we are being made to stand in line outside for plane that isn t ready to board when i could be sitting inside', 'negative'),
(' @stocker my wife sarah stocker did also called but could not connect me to customer service', 'negative'),
(' i m fully awareit s just that your rules are harsh toward the client especially since you re going to resell my seat for more ', 'negative'),
(' boarded on timedeplanedand now minutes delay no transparency during can t wait to give up my gold status for aa ', 'negative'),
(' this is very disappointing this is about customer service ', 'negative'),
(' trying to reach him for the number at last they have him on standbye and gave him meal voucher for a potential day standbye ', 'negative'),
(' i can tell you your airline has lost mine and my families business this day and age message through twitter travels fast ', 'negative'),
(' why i won t check my carry on watched a handler throw this bagmiss the conveyer beltsat there min', 'negative'),
(' how is it tripitpro has accurate delayed dept times andhours late flightr i hear the same from you just curious', 'negative'),
(' help flight to dallas was cancelled flightled this morning from cle on hold for hours need to be booked on next flight out ', 'negative'),
(' why so i can waste more of time on this airline to get an automated message disappointing as always ', 'negative'),
(' did somebody say flight upgrade ', 'negative'),
(' that s the reply lol hoping that at least the new plane was maintained before the flight ', 'negative'),
(' me up in a hotel tonight and expect me to now pay even more money i don t have that money i was supposed to get a call back', 'negative'),
(' airlines abuse your expensive video equipment and overcharge you for the privilege@robthecameraman', 'negative'),
(' my flight to dallas and to sfo has been cancelled flighted and they can t get me on anything else until tomorrow you won t put', 'negative'),
(' this means within one week i will have filed compensation complaints to your website', 'negative'),
(' the new seats on the canadaair regional jets just plain suck ', 'negative'),
(' your website is a complete joke when using safari ', 'negative'),
(' i understand a bit of a waitbut i called at pm and didn t get a call back until just after pmthat s not cool ', 'negative'),
(' obviously no one knows a darn thing around here what are we to do if this does not get resolved', 'negative'),
(' this merger with @usairwis a cluster of inefficiency and misinformation when is it going to be done ', 'negative'),
(' i have never been so grossed out in my life what a disappointment yet again flying with you ', 'negative'),
(' i think you should board from the back of the plane #whatstheholdup #chitocle', 'negative'),
(' @jedediahbila why is united voted every year as one of the worst airlines do enjoy that title you should give jedediah free passes', 'negative'),
(' way to ruin a vacationmy brother has called all night and had multiple places in line only to get dead air on call back ', 'negative'),
(' the passengers waited inside the flight on the runway and returned back in o gate that should not count as a valid journey', 'negative'),
(' refreshes my browser right before checkout error load message ticket price increased in a matter of sec dounotwantmybusiness ', 'negative'),
(' yes it is partly usedthe del ewr is usedthe return flight was cancelled flightled due to technical glitch in operations ', 'negative'),
(' kind of unnerving to watch the guy deicing your plane text on his phone the whole time', 'negative'),
(' days and no call bag or anyone to pick up my call held on ph til am and holding again now insane', 'negative'),
(' no sato rebooked me just upset that my travel office had to fix thisand you couldn t ', 'negative'),
(' has no customer servicephone or in person just a stone wall with a giant middle finger painted on it ', 'negative'),
(' usually an issue with express our of sfo positive note mainline p s was enjoyable ', 'negative'),
(' last thing i want to deal wbefore on a mon i ve already waited the suggested wait timeso i hope i get a call back asap ', 'negative'),
(' ua sitting on tarmac at ord when there are visibly gates open reassign our gate ', 'negative'),
(' i appreciate you looking can you compensate me on anything for my troubles still haven t taken off for a am flight', 'negative'),
(' all i get is an automated system that hangs up on me i finally get a message that some will call me back in hours ', 'negative'),
(' thanks for having ground crews that are surprised when flights arrive ', 'negative'),
(' spent hour trying to check after to use military id for luggage then messed up boarding passforced into line again ', 'negative'),
(' your customer service is crap ', 'negative'),
(' mia ewr # excellent crew ewr iad # no crew to load bags waiting wdoor open freezing mins past departure ', 'negative'),
(' @emrey but it says your agents are too busy and to try back late flightr ', 'negative'),
(' that s still one day over my visa expiring on june which is why i booked my flight on that day ', 'negative'),
(' file loctjycqh bag at airport since last nite not scheduled to get pu unt aft why u shld b ashamed i m disgusted w u ', 'negative'),
(' thanks for reminding me how much easier it is to fly southwest get more agents at sfo ', 'negative'),
(' please provide update on ua this flight has been stranded by united with no information from the crew on the plane ', 'negative'),
(' i remained on hold for hrs to resolve my flight scheduleyour system hung up on me #unhappycustomer', 'negative'),
(' if a business decision is made that inconveniences and possibly causes lost customersis it a good business decision #cranky ', 'negative'),
(' for two days now i have been trying to reach customer service to change my flight ', 'negative'),
(' you bet make this screw up right for once things i need in bag for my job and you have grounded me today #painandsuffering ', 'negative'),
(' thank u for thehr delay then boarding us onto a plane that reeks of vomitflight attendant indicated it wasn t cleaned properly ', 'negative'),
(' thanks seat made for a year old and a broken tv flights year my last on your airline ', 'negative'),
(' how do i see your report team ', 'negative'),
(' @kaha would be nice if you could actually talk to the reserv team it just hangs up on you and has been since last night ', 'negative'),
(' how about a reservation phone system that actually works you know the number is unreachable callbacks are dead air ', 'negative'),
(' why is there only one checkpoint open at jfk terminal ridiculous ', 'negative'),
(' actually we aren t still parked here ', 'negative'),
(' wow flight crew shows up mins before the flight no catering for aa nice why to treat your customers ', 'negative'),
(' thanks for delaying my flight for an hourand then boarding us onto a flight that reeks of vomit because it wasn t cleaned properly ', 'negative'),
(' just landed might want to check flight plane from houston that sound was during takeofflanding', 'negative'),
(' if i miss saying goodbye to my friend cause of your crappy service i swear you will never hear the end of it #americanairlines', 'negative'),
(' flight is awful only one lavatory functioningand people lining upbumpingetc because can t useclass bathroom ridiculous ', 'negative'),
(' what i don t understand isn t flight that i paid premium for getting cancelled flighted and the best you can do is next available flight ', 'negative'),
(' i can t even look at you right now i ll call you when i m not so mad ', 'negative'),
(' thanks for reflight booking problems me on a flight and then leaving my luggage in nyc unbelievable ', 'negative'),
(' i booked and paid for a flight to get me to denver at a specific time for a meeting you failed it wasn t caused by weather', 'negative'),
(' after several trials and several hours of waiting on phone to contact customer care to get my refund all i get is cold shoulder', 'negative'),
(' i requested an online refund option they denied saying the ticket was usedhope they understand the problem from your approach ', 'negative'),
(' nopestill sitting at the gate ', 'negative'),
(' contd i am being told that i am asking for a refund on a used ticket on a flight that got cancelled flightled how is the ticket used ', 'negative'),
(' splitting up my flights quadruples the price', 'negative'),
(' the refund team is far from customer care courtesy they need training on work ethics so it s like sir u r lying how can i help', 'negative'),
(' heynot working ua ', 'negative'),
(' why would a person take hours and hours of wait time just to tell a lie', 'negative'),
(' trying to change my flight and you just hang up on ppl bc call volume is high that s a jokeright ', 'negative'),
(' that is absolutely false stmt you have a comedy of errors incl no catering etc #getyouracttogether', 'negative'),
(' why do i have to go thru the details of the flight i want wthe recording to then repeat all when a real person gets on the line ', 'negative'),
(' worst flight experience i ve ever had will never ever fly your airline again ', 'negative'),
(' still waiting on our bag never got delivered yesterday can t reach a real person for help sendingwith ref number ', 'negative'),
(' fair enough united everybody is doing the best they can although that slight delay is turning into a cancelled flightlation ', 'negative'),
(' it s been hours and still no call and now we are back to being hung up on by an automated system #americanairlines', 'negative'),
(' from a service rep but that hasn t happened yet i m honestly fed up and sick of this no notice when my flight got cancelled flighted', 'negative'),
(' i have those notifications yet the staff on board say that is not accurate and they have no departure time ', 'negative'),
(' i m not know if the seats are actually narrower than other seats but they feel like it or maybe i m extra bloated ', 'negative'),
(' got call saying flight cancelled flightled but checked online and it isn t cancelled flightled no where near bad weather i have job interview', 'negative'),
(' heywhat s happening with #aa zurich jfk appears to have squawked and landed at london heathrow ', 'negative'),
(' are you aware your airbus fleet sucks i d rather fly a c full of rubber dog shit ', 'negative'),
(' is a money sucking airline with terrible terrible customer service', 'negative'),
(' i know im sure you hear it all the time — dont like the new seats im a small guyand i feel the new planes are tight ', 'negative'),
(' how about after hrs at ord another on the tarmacrefuse to move me to an earlier flight you make it up to me #iflyalot #bs', 'negative'),
(' so far all i am getting is maybe your bag will come today we don t know website says status unknown can you help ', 'negative'),
(' my flight was cancelled flightled i need to be rebookedand i can t do it online and they aren t answering calls help ', 'negative'),
(' i filled out that whole form before receiving a poor poor response is there no direct email address in reply ', 'negative'),
(' nope had to rebook through houston so i could get to amarillo before pm stuck in sfo for four hours ', 'negative'),
(' i tried all day have been disconnected due to heavy call volume ', 'negative'),
(' its the abc s of prlet your customers have the most info possible might want to go brush up on the basics ', 'negative'),
(' new flight has me at the window kind of ticked off i pick aisle seats only because i hate window seats ', 'negative'),
(' it is all goodyourk team has been nothing short of amazing with everything ', 'negative'),
(' got rebooked on aa one question thoughdo you automatically refund the check baggage fees for flight that was cancelled flightled ', 'negative'),
(' thanks for delaying our flight for an hourmissing our connecting flight and terrible customer service #neveragain #vacation ', 'negative'),
(' also doesn t help me i m a very frequent flier and united premiere gold apparently that means nothing ', 'negative'),
(' that s wonderful unfortunately doesn t help on this hr flight between to major u s cities ', 'negative'),
(' delayed another hour', 'negative'),
(' i ve been doing this all night can someone please help i need my flt fixed please ', 'negative'),
(' last trip on poor customer service trips in a rowhere i come ', 'negative'),
(' yeaa refund your airline ruined our trip ', 'negative'),
(' define appreciate i doubt the worst major airline in the usa acts on much feedback ', 'negative'),
(' please send help asap to on flight to chicago seatc ', 'negative'),
(' stiiiil waiting please respond as my flight leaves inhrs', 'negative'),
(' your customer service is terrible', 'negative'),
(' now from iah to ewr has broken entertainment system and no wifi despite info on app', 'negative'),
(' @murphyjulie it took them hours to call me back then it disconnected twicei ll never get back to work', 'negative'),
(' worse headed to laguardia delayed why is the tray table the size of a mouse pad and the overhead the size on my pocket ', 'negative'),
(' daysplainsfails', 'negative'),
(' couldn t have possibly messed up our trip anymore than they did thanks for being such a terrible airline ', 'negative'),
(' why did i have to stand at baggage claim for an hour waiting for a bag that you knew never made it on to the plane ', 'negative'),
(' stuck in ord because united can t find their airplane lol #upset terminal right now ', 'negative'),
(' #worstcustservice you should have contingency plans for extra workers during bad weather hours hold #ridiculous', 'negative'),
(' not very helpful if my flight is already cancelled flightled what about reflight booking problems aa has my email and cell yet no notifications ', 'negative'),
(' incompetent rude service today missed my connecting flightthen the customer service desk was terrible to me really upset w untd ', 'negative'),
(' @derekc i leave jaipur tomorrow back to dehli only in delhi one night we need to use our abilities to make magic ', 'negative'),
(' # cancelled flightled # newflight i will be upset if this one cancelled flights too i could have rented a car if they would have been honest ', 'negative'),
(' my flight cancelled flightled new flight hopefully will not ', 'negative'),
(' i did and then she made me feel guilty because it was economy plus and i didn t pay for the extra leg room', 'negative'),
(' terrible experience on ua on exit row in economy has zero legroom have same row booked for return but can t change ', 'negative'),
(' now you change my gate and don t tell me what the fuck is wrong with you people learn to do your fucken job', 'negative'),
(' trying to make an online flight booking problems one way from barbadosnyc but wont let me as says i need a barbados cc why ', 'negative'),
(' no because you will charge me or delay me further united still waiting ', 'negative'),
(' hours late flightr i ve been in transit for a total of twelve hours please just change the plane on flight this is ridiculous sfo', 'negative'),
(' haha and you have to clean a plane that was held overnight in a hangar sounds lovely also don t lie on screensand say it s weather', 'negative'),
(' this delay of flight ua has been painful i sure hope it doesn t cause me or my luggage to miss my ua flight to new delhi ', 'negative'),
(' yes but unbelievable should have a free fare lock', 'negative'),
(' is the worst', 'negative'),
(' i would purchase it if i was there by choice but you guys cancelled flightled my flight and have me stuck at dfw for hours ', 'negative'),
(' no wifi on flight ua sf to ord really wow', 'negative'),
(' worst airline beware they do not maintain there plain been on the runway the past hours', 'negative'),
(' it should be free like other airlines againits not anymore ', 'negative'),
(' existing reservation is fine i was talking about no longer having an cmh ord option gets me in too late flight ', 'negative'),
(' thanks for the reply the box is not mine and i m not missing one it was added to my bag ', 'negative'),
(' haha i did they said it wasn t their fault somehow you guys r a joke', 'negative'),
(' stuck in miamiand one of the worst customer experiences i have ever had will be sure to let everyone know about my time w aa ', 'negative'),
(' no wifi on to that s all ps this tech intro video is a joke ', 'negative'),
(' fyi your staff are telling customers to try other carriers', 'negative'),
(' can t beat the storm out of town if you wait to issue the policy until too late flight nws issued storm warning already ', 'negative'),
(' @upgrd i guess the kit kat looks tasty not going near that sandwich ', 'negative'),
(' delayed cmh to ord ran to gate min bconnectiondoor closed no one around ignored byagent super rude #thanksunited ', 'negative'),
(' cruelunusual to cancelled flight flight w o noticemake someone stay on hold for minlisten to the same ad in a loop', 'negative'),
(' i have no way to contact her while she is in flight this does not work for me her father is about to pass and is heading to denver', 'negative'),
(' made to check in my carry on from flight pbi to newark plane luggage stow not full u r costing me timemoneyaggravation ', 'negative'),
(' have been trying to reach american airlines since last evening to cancelled flight flights worst customer service ever what now ', 'negative'),
(' or i m sure her business will go else where for airline travel her name is kathryn sotelo', 'negative'),
(' poor experienceday at ord chkin emp w cust waiting asked to speak w supervisor told min in a mtg what ', 'negative'),
(' i know where to check my complaint is my ticket said dinner when i booked now it s changed to refreshments where s my refund ', 'negative'),
(' bummer might have to go with card instead ty for response though ', 'negative'),
(' bag mia since wednesday still no word where it is or if we ll ever see it again #lostluggage ', 'negative'),
(' yes to three different checkers along the walk to the plane overkill', 'negative'),
(' without baggage for days and can t get an update from houston airport since monday worst service ever ', 'negative'),
(' i called reservation at am and i m still waiting for someone to call me back', 'negative'),
(' flight to be specific the last two were probably feet apart and within sight of each other', 'negative'),
(' a confirmed flight i m so done thanks for nothing ', 'negative'),
(' we can t all be american airlines i suppose', 'negative'),
(' no email no phone call no nothing you ve screwed with my flight and my family friends flights you cancelled flighted reservations for', 'negative'),
(' if you carecould you have someone call me to explain what is going on ', 'negative'),
(' i was not looking for the fare to be returned on the companion flight don t understand why an additional fee was necessary ', 'negative'),
(' love to report how horrible this flight is to your team let s make it worse as they get to my seat out of all snacks', 'negative'),
(' will flight to yyc be providing free food when we are allowed back on board after the broken lightbulb ', 'negative'),
(' united club team is agot me a seat late flightr stillnot sure why a last min ual cancelled flightlation costs me yet overbooked folks get ', 'negative'),
(' thinks it s a good cs to get everyone through the gate for flight then we wait bc plane not ready', 'negative'),
(' i m rebooked getting home hours late flightr then planned what are the chances i ll ever see my bag again #unhappytraveler', 'negative'),
(' uh i booked it through the ua website why the price change ', 'negative'),
(' hey why automated call me and then hang up at am and why can t i reschedule cancelled flighted flightsweb come on ', 'negative'),
(' delayed going home again getting really tired of delays ', 'negative'),
(' sent this lack if customer service is getting ridiculous ', 'negative'),
(' we are on two more flights todaylet s hope the kit does not get the same treatment ', 'negative'),
(' you might be the only airline not offering waivers keep up the good fight', 'negative'),
(' all rightbut can you give me an email to write to ', 'negative'),
(' you are making me miss big snow in montana not cool ', 'negative'),
(' do it again i will now miss one or probably both our aspen events ', 'negative'),
(' you have the worst reps at jacksonville airport so rude and totally not helpful at all ', 'negative'),
(' that link is not helpful as it does not put me in touch with management', 'negative'),
(' don t need your apologiesneed my bag took minutes from landing to get it unacceptable ', 'negative'),
(' add wifientertainment and the old seats and ill come back ', 'negative'),
(' so we fly into sfo and honululu gets pushed back hours and now it looks like more delays i beg of you plz sort this out soon ', 'negative'),
(' crew has been notifiedpassenger moved but water not fixed now on tarmac two hours ', 'negative'),
(' i will be calling customer service delayed flights today nowluggage misplaceda disaster across the board ', 'negative'),
(' its now days since i contacted customer relations #surf #baggagedrama', 'negative'),
(' understood integration takes timebut no excuse for poor customer service ', 'negative'),
(' super lame that you charge for tv on an international flight to the us it isnt ', 'negative'),
(' as for volunteers to give up seatspeople did now we sit for minutes on plane waiting them to add more people #letsgo ', 'negative'),
(' @malhoit at least you got a response fromtwitter i went for yesterday ', 'negative'),
(' all i want is to know what to do regarding my connecting flights since myis cancelled flightled could you be of assistance ', 'negative'),
(' wind chill in ithica degreesand for the trouble of losing my clothes they give me a t shirt i ll burn it for warmth', 'negative'),
(' yesbut they still don t know where it is i ve been told it might be on a flightbut now no one can confirm it ', 'negative'),
(' you going to transfer my car to me too because it s at the airport you couldn t get me too ', 'negative'),
(' next time i will not volunteer to let you gate check my bag for spacesince you obviously can t deliver it in a timely manner ', 'negative'),
(' can i get some assistance flight cancelled flightled today from phx to dfw not that i m hating but my job is concerned', 'negative'),
(' not anymore finally was ticketed min before takeoff not sure why the confusion with a full fare gsa ticket ', 'negative'),
(' flt delayed because of maintenance that s fixed but can t board because flight crew didn t stay in boarding area ', 'negative'),
(' deserves to go bankrupt just delayed an outbound flight with no info on the connecting flight that we re going to miss', 'negative'),
(' i m sorry it s cold in chicagobut i don t see why that means it takes minutes for my priority bag to show up on the carousel ', 'negative'),
(' customer service has no solution and now we might miss a show because of them', 'negative'),
(' i hope you have a solution or insurance to cover this issue', 'negative'),
(' wasn t just a delay your counter wouldn t take a valid cac card as a valid id which is needed for a tsa precheck on pass', 'negative'),
(' can you please help you ve now rebooked me incorrectly after flight was cancelled flightled please fix my flt to tuesday ', 'negative'),
(' please help regarding pnr a zz f why am i now waitlisted for a flight ', 'negative'),
(' i amcalled paris office this morning againstill waiting it is in miami but apparently tag was taken off ', 'negative'),
(' i was rebookedhowever it would have been nice not to have to wait an extra min at the airport how will you make this right ', 'negative'),
(' westjet and your rep won t do anything about my lost luggagewhich i never even checked with westjet because it was lost in', 'negative'),
(' love how you can t get an agent on the phone and the automated system hangs up on you', 'negative'),
(' i m a minor and freaking out bc i might not make my connecting flight to hawaii so yes i m frustrated', 'negative'),
(' stuck in this airport hours in standbys cuz the pilot showed up late flight in pjsi missed my connectin flight pj s i tell u #nyfw', 'negative'),
(' how best to talk with an agent to reschedule cancelled flighted flight no one answers at aa know it s busybut need help thanks ', 'negative'),
(' you do realize my wife is waiting on a delayed flight at this very moment i m not sure i understand your tweet ', 'negative'),
(' your website was down all day yesterdaytriedx put all info indidnt go thrutoday the flight i bought went up ', 'negative'),
(' nonrefundablehence i wrote doesn t make sense for my credit #nothanks ', 'negative'),
(' =unamerican airlines just lies and poor customer services ', 'negative'),
(' no it weighed and it was the only checked bag', 'negative'),
(' got it worked out had to postpone my trip and pay extra though not easy for a poor graduate student ', 'negative'),
(' need to track lost luggage being shipped to me need ph # for human not automated ', 'negative'),
(' if i wait i ll lose the flight so frustrating ', 'negative'),
(' it most certainly was not ', 'negative'),
(' @cowboycerrone you apologise for his frustrationshis disappointment but not your terrible service #blameshiftoverload', 'negative'),
(' i sent you ahours ago', 'negative'),
(' we followed the baggage rules on your website and was still charges but only going one way', 'negative'),
(' they @cathaypacific @cathaypacificus can t even tell me what country they are in 😥😥', 'negative'),
