Classification, Text
negative, let scanned in passengers leave the plane than told someone to remove their bag fromclass bin #uncomfortable
negative, what is your phone number i can t find who to call about a flight reservation 
negative, is anyone doing anything there today website is useless and no one is answering the phone 
neutral, trying to add my boy prince to my ressie sf this thursday from lax
negative, why must a traveler miss a flight to late flight check a bag i missed my morning appointments and you lost my business lax
neutral, check out new music
negative, how s a direct flight fll sfo have unexpected layover in vegas fuel yet peeps next to me bought for vegas flight #sneaky
negative, your no late flight bag check just lost you my business i missed flight and am apt three other people on flight had same exp 
positive, amazing customer serviceagainraeann in sf she s the best 
negative, called your service line and was hung up on this is awesome #sarcasm
negative, your site is tripping i m trying to check in and i m getting the plain text version i am reluctant to enter any card info 
neutral, i was scheduled for sfo dal flight today changed todue weather looks like flight still on 
positive, has getaway deals through mayfrom one way lots of cool cities #cheapflights #farecompare 
neutral, has getaway deals through mayfrom one way lots of cool cities #cheapflights #farecompare 
positive, has getaway deals through mayfrom one way lots of cool cities #cheapflights #farecompare 
neutral, has getaway deals through mayfrom one way lots of cool cities #cheapflights #farecompare 
positive, have a great week 
positive, come back to #phl already we need you to take us out of this horrible cold #pleasecomeback
negative, should i be concerned that i am about to fly on a plane that needs to be delayed due to a tech stop 
positive, is the best airline i have flown on easy to change your reservation helpful representativesa comfortable flying experience 
positive, and again another rep kicked butt naelah represents your team so beautifully thank you 
positive, your beautiful front end design is down right now but it was cool to still book my ticket b c all your back end was secure 
positive, love the team running gate eat las tonight waited for a delayed flightand they kept things entertaining 
negative, use another browser a brand with a reputation built on tech response doesn t have a cross browser compatible website 
negative, and now the flight flight booking problems site is totally down folkswhat is the problem 
negative, i like the customer service but a min delay just for connecting passengers seems too long va 
positive, thanks to your outstanding nyc jfk crew who moved mountains to get me home to san francisco tonight 
positive, you have the absolute best team and customer service ever every time i fly with you i m delighted thank you 
neutral, do you provide complimentary upgrades to first classif there are available seats 
negative, i need to change my flight thats scheduled in hours and min wait time on phone im calling intern help 
positive, completely awesome experience last month bos las nonstop thanks for such an awesome flight and depart time #vabeatsjblue
neutral, how can i watch the on my jfk sfo flight 
neutral, is flight cancelled flightled and what do i do if it is 
negative, you are failing your customers because your check in process does not link to tsa pre check 
negative, @fidifamilies us too terrible airline just gave us a hotel hotline number and said sorry
neutral, has flight number from sfo to cabo san lucas arrived yet 
negative, @chrysichrysic your assistance yesterday when u cancelled flightled our flight was to give us a hotel hotline shame on you 
negative, another delayed flight 
negative, i need to register a service dog for a first class ticket from sfodulles the phone queue is an hour or longer pls advise
positive, you rock for making it so i can watch on my flight #redcarpet 
neutral, @reallytallchris dropped a track on you 
positive, always xoxo
negative, why can t we book seats on your flights when we buy them or even during check in creates so much anxiety 
negative, you d think paying an extra bucksfor luggage might afford you hiring an extra hand at @sfo #lame
positive, best customer service rep in the world #irmafromdallas takes the cake 
neutral, can you find us a flt out of lax that is sooner than midnight on monday that would be great customer service 
negative, please provide status for flight i cant imagine it s on time as the web indicates dude to weather here and or dallas
positive, you have amazing staffsuper helpful as i just ran the @waltdisneyworld #princesshalf they have spoiled me with comfort 
negative, i paid the premium to fly you across the countryyou cancelled flight my flight and offer no check fee or upgrade love sad face
negative, question is it not possible to book a seat for an infant under it s not giving me the option but we want a seat for him 
positive, always have it together you re welcome@jessicajaymes you re so welcome 
positive, home to#sunset #globe in #backtowinter back to #work #refreshed
negative, i don t understand why you need ato give me an answer on if you have a damaged luggage policy 
negative, does that mean you don t have a policy for destroyed luggage 
neutral, is there special assistance if i travel alone w kids and infant priority boarding 
positive, thank you for checking in tickets are purchased and customer is happy 
neutral, is your website ever coming back online 
neutral, is flight from love field to sfo definitely cancelled flightled for mondayfebruary 
neutral, is flight out of lga to dfw on time 
neutral, my drivers license is expired by a little over a month can i fly friday morning using my expired license 
negative, having problems flight booking problems on the web site keeps giving me an error and to contact by phone phone is minute wait 
negative, how do i reschedule my cancelled flightled flights online the change button is greyed out 
negative, i rangbut there is a wait for minutes i can book the same ticket through a vendorfix your site 
negative, got a flight we were told for todaychecked my email and its for tomorrow this is unacceptable 
negative, our flight into lga was cancelled flighted we re stuck in dallas i called to rescheduletold i could get a flight for today
negative, why don t any of the pairings include red wine only white is offered#redwineisbetter
negative, is the website down 
negative, your site seems a little wonked right now may want to have a look tried on two browsers no css
negative, i m disappointed that the agent at the designated silver status check in line @dulles_airport closed to assist all pasengers
neutral, plans to include austin to its dallas route topnews arab #emirates
negative, is it normal to receive no reply from central baggage #baggageissues #smh
negative, at logan airport and waiting to checkin for myam flight checkin desk not open why 
neutral, to jump into the dallas austin market 
neutral, beats eps viewstakes on #southwestair va luv investor s business daily 
neutral, lister to my show my on monday 
neutral, to begin dallas austin  in april ketr
negative, congratsyou just got all my business from ewr to sfo lax fuck you fl sfo ewr was the clincher 
negative, i applied over weeks ago haven t heard back and i m flying this week 
neutral, i d love to know what your policy is for damaged luggage 
positive, thank you for the follow
negative, too many apologies you r the worse airlines don t even respond to your cudtomers
negative, shame on va for making people spend money in stranded cities when other airlines are landing at jfk who will reimburse me 
neutral, @ttinac iyou
neutral, can you please have flights in sjc i have no choice but to fly southwest to vegas 
negative, too bad you say it takes to daysyour confirmation email when i inquired after weeks you claim to weeks 
negative, flight from boslas tomorrow was cancelled flightled no notification wait times are hour will you rebook on another airline 
positive, youve met your match got status on another airline upgrade restr 
positive, only way to fly #elevate #gold
neutral, if only you guys had flights from cmh 
negative, a lot of apologies being thrown out to customers from what i can see very sad thanks for nothing worst airline ever 
negative, for all my flight stuff wrong and did nothing about it had  ever
neutral, having an issue finding a missing item on a plane can you help me find which airport my plane headed to next 
positive, you will match my status cool 
neutral, you ve met your match got status on another airline upgrade@asarco_es_ar 🙉
negative, trying to book a flight with you guys and your website won t let me about to lose my business
negative, you suck 
positive, thanks 
negative, justd same issue persisting 
negative, because we never rec d cancelled flightlation notice we were left w no options to fly out of ps driving to la for a red eye mon w kids
negative, trying to book a flightyour site is down 
negative, you have any flights flying into boston tomorrow i need to be home and you cancelled flightled my flight and didn t do anything
negative, you stink flight cancelled flighted from psp to jfk and no notification or ability to rebook#expected better
positive, i love your guy s song we re dancing to it for our high school dance revue
negative, your website is down and i m trying to check in 
positive, done thank you for the quick responseapparently faster than sitting on hold
neutral, nervous about my flight from dc to lax getting cancelled flightled tomorrow just sent you ato help me 
positive, cool picture of another virginamerica plane off our wing what a site
positive, keep up the great work
positive, my goodness your people @love field are amazing under pressure ️from texas #beatstheothers in crisis please fly me to ny
positive, thanks for a great flight from la to boston pilots did a great job landing in the snow can we go back to la now #seriously
neutral, can you please get me to the new york area before monday afternoon
positive, thanks so much for the awesome supportyou guys rock 
negative, seats in row don t recline should mention that on your website #soreback
negative, flight delayed hours in la due to mechanical problems handle like pros but you could have tossed us a free drink 
negative, why cancelled flight flights today no precipitation to be scared of ❄️❄️❄️
positive, twitter team you guys killed it for rescheduling me asap thank you 
negative, you guys charged me to reschedule a flight that was then cancelled flighted and are now refusing to refund it what s the deal 
negative, cant access your website from safari on iphone seems to work on mac and ipad need iphone to add passbook 
neutral, on ipad and iphoneclicking the checkin link in the email i received at hrs before flight 
negative, had to change to another airline to get to dc today why is able to land in dc but not you cost me ugh
negative, i was so looking forward to my first flight with you today but it was cancelled flightled along with the subsequent one 
positive, when are you putting some great deals from pdx to las or from las to pdx show me your love
positive, wish i can afford to fly with you next friday going back home love everything about your airline
negative, how are you gonna have a deal from dallas to dc but no deal from dc to dallas #sad
neutral, its just a bug reportguys 
negative, hold times at call center are a bit much
positive, like
negative, site down 
positive, you have the best flight attendant ever
positive, awesomewatch nominated films at feet #meetthefleet 
positive, thanks so much 
negative, trying to reset my passwordemail never arrives help 
positive, the only airline based in silicon valley #disruption #fcmostinnovative #incubator @fastcompany s 
positive, very nicely done 
positive, im looking forward to watching the oscars on my flight home tomorrow i might even get something bubbly to drink
negative, what is the reason for the delay of the departure of vx from jfk this afternoon 
negative, is todays flight from palm springsca to jfk in ny cancelled flightled 
positive, hahaha you guys are amazing i love you guys 
positive, sounds like fun 
neutral, any updates on flight from jfklax
neutral, spruce moose 
negative, the css on your site is a right nowplease fix site unusable 
negative, we re on flight vegas to boston todaychecked in online but our bag count didn t register can i fix that somehow 
positive, classiqluv virgin america greetingz 
negative, hii m trying to do check in but the website is not working i tried different browsers and the problem continues 
positive, thanks for your great customer service todayfor helping me get all my travel sorted out 
positive, thanks guys sweet route over the rockies #airplanemodewason
positive, love the s music blasting at gate in #boston while waiting for flight to #sanfrancisco only if i could get an iced coffee 
negative, the passenger indflt that assaulted me shouldn t have flown i trust he s banned crew filed report to @faanews 
negative, current bug on website shows ‘select departure city when selecting destination city
negative, luggage was severely dented missing wheel coming off baggage claim in san luggage agent miranda i think wasn t any help 
positive, thank you for the easy itinerary shift for impending weather quickpainlessfree 
neutral, if you d love to see more girls be inspired to become pilots our free woaw event march at abq 
positive, thanks good times there and back #vodkatonics the entire flight🍸 
neutral, beats expectationsshares take off santa cruz sentinel 
neutral, any plans to start flying direct from dal to las 
neutral, big love gratitude mpower wwerin vipswagbags@ #avalonhollywood
positive, you re doing a great job adding little luxuries aesthetics that improve the air travel experience thank you keep it up 
negative, requested window seat and confirmed window but got stuck in middle seat not a good way to treat silver member😒
neutral, grand budapest hotel #oscarscountdown
neutral, this is what you missed @newsvp next trip to the 
negative, #wtf i paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience 
negative, there is something wrong with you website in safari iphone
positive, thanks for gate checking my baggage on your full flight dfw lax and giving me early boarding too #sweet
negative, already checked in so the page expired x
negative, boo for a not refunding a seat upgrade fee i did not want to buy in the first place 
neutral, shares rise on qfinancial results usa today
neutral, adds pillows instead of lie flat seats in first class arms race
positive, i see what you did there
neutral, way to take advantage of #mayweatherpacquiao
neutral, you know i m flying virgin for the fight #mayweatherpacquiao
positive, your inflight team makes the experience #amazing 
positive, cutest salt and pepper shaker ever just when i think you guys can t get any better you just do
negative, moved my seat with no notice better seat is cabin select not behind the row i selected
neutral, shares up onq results @iol
positive, fav airline
positive, we have a hot female pilot sweet dca to sfo 
neutral, when are you guys going to start flying to paris @lizautter you re welcome 
neutral, what is your policy on flying after surgery i am still waiting for answer so i can tell me doctor 
negative, already contacted central baggagesent@renttherunway is charging me for the dress that was in the lost suitcase 
positive, thank you 
negative, is there anything going on with the website i ve been getting a lot of errors past minutes 
neutral, i think i left something on the plane yesterday who do i call ah 
neutral, i need you to follow back in order to
neutral, need to start flying to @kciairport 
neutral, they told to check with the airline regulation first so that is why i contacted you 
negative, @virginatlantic i have just checked in flight to sfo from laxbeen told as atlantic flying club gold i get no benefits 
negative, husband and i ordered three drinksmy screen and they never came awesome 
negative, soooo are you guys going to leave the seatbelt light on all flight you can barely call this turbulence 
neutral, what is your policy on flying after surgery 
neutral, posts second consecutive full year net profit @atwonline
negative, funny storyyour website is brokenyou have missing javascript and stylesheets on the checkin process i dislike this 
positive, would love to do more for virgin just like i do for 
neutral, results handily exceed forecasts @nytimes
neutral, i applied for a position in @flylaxairportand i was wondering if you guys received my application 
neutral, achieves a second year of profitability despite revenue pressure @capa_aviation
neutral, gives positive outlookbut sees increased competition @reuters 
negative, i m trying to check into my am ct flight tmm on the desktop website and it s not working some sort of caching bug sos
neutral, weather delaysnext few weeks#jfk #bos a
neutral, @madbee check the website before you go to the airport 
negative, do you guys know your check in links from emails are broken
neutral, pilot says we expect a choppy landing in nyc due to some gusty winds w a temperature of about degreesw the windchill 
positive, loved it can t wait for monday s return flight mostly just to watch the inflight safety video again #sorrynotsorry
negative, lost my luggage days ago on flight vx from lax to iadi m calling every dayno response please give me back my stuff 
negative, the flight booking problems section of your website seems to be broken on chrome might wanna look into that 
positive, hi just wanted to see if you have any new routes planned this year for newark love flying you guys and hope to do so more 
positive, i mean probably inappropriate while on board butit s on 
positive, happy to spend the day together let s do this 
neutral, is saving my sanity right now 
neutral, missed my flight how does standby work 
positive, they were very understanding and helped me out thx #comps
neutral, brought it all the way across the country today i see 
positive, thank you i absolutely will 
negative, looks like a broken link for your assets 
neutral, are you ready let s say it together noooo turbulence today 
negative, the manage itinerary section of your website seems to be broken for me
negative, can t check inyour site looks like this every time it loads
neutral, can u help this@freyabevan_fund needs urgent treatment in y old battling cancer could u help with flights #freyasfund
neutral, may start service to hawaii from #sanfrancisco this year #biztravel
negative, other carriers are less than half price for a round trip fare i am stunned 
negative, wtf is happening in pdx late flight march such that one way from sfo is 
neutral, add dtw and i m sold 
positive, how about some free drinks on the flight back for the free promo 
positive, @ssal thanks 
neutral, momma i made it 
neutral, please contact me about portfolio left on flight vx from jfk to sfo tonite seatam need it returned call 
neutral, help i was on flight from jkf tonight seatc left portfolio need it back 
neutral, @shrinerack seattle bound wifey got me the duffle for vday she s a keeper holla
negative, my luggage is gone i ve filed my paperworkpromised a call email still no resolution or response from central luggage 
neutral, debbie baldwin gave a #rockstar performance of the safety demo this evening on vx #las sfo #bestcrew #sherocks
positive, thanks 
positive, thanks for taking care of @suuperg on her flight #rockstars 
positive, thanks for the lovely soft views#san to 
negative, i requested a mileage challenge for status several weeks ago online but haven t heard back how do i get help with this 
negative, just trying to book tickets to nyc and facing super fun broken styling don t worryi ll keep trying
neutral, many thanks for the follow #ourprincess #freyasfund #usa #bandie looking for any help
neutral, nicelofty view @flylaxairport #silverstatus 
negative, applied for status match on feb got confirmation email same day still no news though you guys have dropped ball late flightly 
neutral, is my new go to airline
neutral, @virginatlantic @gma can you help #ourprincess in need of some help in #usa 
positive, i adore youand am so looking forward to my flight to austin in two weeks 
positive, i was so glad it was mentioned i took my first virgin flight a few years back and it was a transformative experience 
neutral, flight booking problems flight to uphold my status match do taxes on ticket count as earned status points #statusmatch 
negative, trying to check in but looks like your site is down 
negative, spending my birthday night with youdal dca get me home 
negative, sent a couple messages to the email you provided but to no avail will try again next year cheers 
positive, first time flying virginwent to #sanfrancisco thanks for the smooth ride easily my new fav airline 
negative, seriouslythough will there not be direct flights from sfo fll in may 
negative, it s fine already done with my purchase but you should try it just go most of the way through then go back
negative, not really the experience i was hoping i ws forced check in a small carry onwnothing but empty cabin space on board 
negative, where is our luggage #so slow at lax
neutral, to jump into the #dallas #austin market
negative, i spoke with a representative that offered no solutioni am a loyal customer who flies on @virginatlantic as well 
negative, i am deeply disappointed that your birthday promo was not applied to a trip i booked mere days before i received the email
negative, what happened to direct flights from sfo fll looking in mayonly see connecting#dontdothistome 
neutral, can you help left my blazer in kooples jacket bag atrd row second seat from right gate tlax flight to sfo
neutral, partners with @visa checkout as mobile payment method to help boost mobile conversion rates #etailwest #payments #visa
positive, just promoting the product is allhad a problem with southwest and recommend noneother than the best 
positive, love you guysbut pls get some direct routes las to aus 
neutral, i would like help with some flights please 
neutral, bruh @giannilee turn down for what #vxsafetydance 
positive, of course i work for @virginatlantic and i m obsessed with the entire virgin family 
positive, ok first time flying with you tonight
neutral, digging the swanky pink mood lighting during the flight from nyc to sfo just needs a cabaret singer think about it 
neutral, donebut i need the receipt asap could you please help # 
negative, i haved andd embossed badges and patches superior to the ones you are currently using
negative, on vx from jfk to la dirty plane not up to your standards 
negative, on flight vx headed to la from jfk dirtiest va plane i have ever been on sad for a great airline 
positive, got it squared away someone picked up as soon as i tweeted should have tweeted sooner 
negative, your avis rental continue button doesn t work on your website to book car tried times on phone this sucks 
negative, delayed to 
negative, currently in minute of being on hold with cust service do i need to do anything to add a lap child to my reservation 
neutral, adds pillows instead of lie flat seats in first class arms race by @skift
positive, of course have fun celebrating thanks happy chinese new year 
positive, flight booking problems last second flight for next week from sfoto san any chance you want to gift me a promo code since i love you guys
negative, comenity bank is a joke please change nothing but constant problems with this bank
neutral, i just didhow can ido u have to also add me 
positive, for my grandma ella s she woulda bday greeting from your flight crew she was a stewardess for eastern airlines 
positive, just bought tix for atx dallas route thanks for adding that love yr airlineyr website is best transactional site ever
neutral, anytimesugafly 
positive, gave a credit for my late flight flight yesterday great service that s a wow moment unexpected gesture 
neutral, i need a receipt for a flight change can you send one 
negative, i submitted a status match request a while back and still havent heard im flying on monday can you look accelerate 
positive, had me at their safety video loved my first cross country flight #livewelltraveled #sytycd
positive, that doesn t look to fat to me it looks yummy 
neutral, ceo says #southwesthave strayed from low cost model
neutral, a brilliant brisk am in boston in cue for vx 
neutral, atlantic ploughs a lone furrow in the #middleeast @thenationaluae
positive, omg omg nonstop dallas to austin on virgin
positive, your planes are really pretty just thought u should know that
neutral, when are you flying to hawaii
negative, i m pulling my hair out trying to book a flight with u your site doesn t work on iphone or ipad don t have a computer 
positive, thank you
negative, can i get some help with a support ticket it s been days incident thank you 
positive, good to be home #texas #moodlighting
negative, i cannot even open my laptop in seatc and i paid a premium for this let me out of here 
negative, i am in seatc and i cannot even open my laptop and i paid extra for this seat 
neutral, if only you guys were starting those flights at the end of the month guess im still road tripping on feb 
positive, thanks for that been needing a way to make those austin trips from dcaand now you ve come through 
neutral, announced new route to austin w fares from way
neutral, really sprint i thought you guys were kewl_ 
positive, this is too cool never been on ur planes but now i will 
neutral, you should have dollar lax las fares 
positive, great well deserved 
negative, fyi the infocom email address you say to contact in password reset emails doesn t exist emails bounce 
negative, status match weeks have gone by and no news flt next week hope flt will count towards requirement cust svc no help 
negative, your website sucks donkey dicks just thought you should know all best 
neutral, you should still develop an app then you will be my favorite airline 
negative, all crap channels which is why i pay to watch uk tv
positive, got it all set thanks 
neutral, no a s channel this year 
neutral, only thing i see on passbook is virgin mobile mexico how do i integrate 
positive, giants and virgin america a match made in heaven 
positive, thank goodness alsosee you fridaynwksf boom 
negative, how come you don t have an iphone app still using and making me waste paper 
negative, your back of seat entertainment system does not accept credit cards that have an apostrophe in the surname #apostrophefail
negative, when will vx use all lga slots instead of today adding aus makes this less likely
neutral, is helping me step up my @tinder game #tindertips #tinderchamp
positive, i luv ur people and product thing is y do u charge for herbal tea but not black tea i m not a caffeine drinker
positive, thank you see y all soon i m excited to see the expansion of destinations spread those wings 
neutral, announces new nonstop connecting @austinairport@dallaslovefield intro 
neutral, adds austin dallas love field route
negative, sad to learn you no longer fly sfophl hope it returns 
neutral, can you tweet me the cancelled flight chng fee for a flight or can i rebook under one of your affiliates if sowho are afiliates 
positive, has the most incredible customer service i ve ever experienced so refreshing 
neutral, nowwhen will we see virginamerica come to philadelphia phl 
positive, am i dreaming did you really just open up a route between dallas and austin and does this mean houston might be next 
positive, omg finally
neutral, to startxweekly #a flights from to #dallas @dallaslovefield #austin on apr
neutral, nice to see you expanding in texas but don t forget about us here in i would love to see more flights out of here 
negative, kinda sucked my earphone jack didn t work on my flight they may want to look into that for future passengers
negative, very poor experience first computer problem now seat malfunction stuck missing meeting in san diego 
neutral, to battle on @dallaslovefield @austinairport route@usatoday
positive, the dal aus route makes my day 
positive, awesome deals dal aus for only each way 
neutral, i miss the #nerdbird in san jose
positive, love ittaking on in their backyard consumers win when biz competes 
positive, ​ is flying from love to austin now that is most excellent news 
neutral, can we make every vx plane with #nerdbird why should austin be the only one getting nerd love 
neutral, please add more frequency to pdx portland
positive, congrats vx on the new route 🎉
negative, i tried that you offered to charge me an additionalk for a new ticket or be stranded until thurstimelast time 
neutral, can u help with flights to get ay old battling cancer who needs treatment in@freyabevan_fund 
negative, never had a bad experience beforebut this one took the cake now extortion for carry on items as well 
negative, had to spend hours worrying that items in carryon would be broken stolen since i couldn t carry them on plane or lock bag 
negative, all of group e was told there was no more room in the bins when i got on the planewas room for at least bags in my row 
negative, thanks for making my flight from lax to jfk a nightmare by forcing me to check my carry on bag at the gate 
negative, i have lots of flights to book and your site it not working i ve been on the phone waiting for over minutes 
positive, i am all about the in flight artisanal cheese and wine pairing 
neutral, does virgin america fly direct from seattle to nyc or boston 
positive, that s classy 
positive, i m sure a lot of your and jfk lhr flights go a lot faster than mph with a strong tailwind 
positive, now it s just t minus minutes until my elevate a silver upgrade window opens #freeneversucks 
neutral, save some for tomorrow am 
negative, why is it taking years to fly home to dallas get your shit together 
neutral, @jezziegoldz club virgin is bumping in new york
positive, @jezziegoldz would have been a rough trip but luckily we were on aflight #weather
neutral, is that #thestarter 
neutral, please come to minneapolis st paul 
neutral, yes fyi my bff
positive, another perfect flight how come on your planesthe sun visors can stay down other carriers make you raise them 
positive, nicethe man of steel might be fasterbut we have wifi – just sayingd 
positive, i love the dancing little richard cool beans 
positive, i dont use passbook =i still love you though ill just use my email in the future 
positive, thanks for the free birthday points y all are all right with me 
neutral, do you have an application for ios was looking and only saw virgin mexic
negative, man of steel flies to more cities though and with more frequency too 
positive, thanks so much for sharing just added it to my site
neutral, good point 
neutral, i heard he has a virgin mobile hotspot
neutral, you got cheese plate flights too 
neutral, on all your flights 
positive, dad on segway is the best part of this whole infographic 
positive, are there any plans for a short haul airline in europe would defiantly fly with you guys
positive, wifi and better seating 
neutral, how come abc is the only one of the network channels you don t have 
negative, started my flight with a scolding for using an overhead bin that was then offered to the person seated next to me 
positive, not only was it greatbut you return my calls the day after couldn t ask for more #myvxexperience 
negative, while other airlines weren t cancelled flighting flights into bosand helping their customers get homevirgin was saying good luck 
neutral, dear virgin customerwhile you re stranded in sf for days costwe ll do the very least we can to accommodate you 
neutral, should use this in their next airline commercial lol 
negative, grouping virgin in with the others now bos weather has exposed their actual cus serv model never flight booking problems with virgin again 
negative, as one of the travelers affected by the boston stormi m shocked at virgin s complete apathy toward their customers 
negative, umm so no reason as to why this is is there someone different i should contact or contact me to get a definitive answer 
negative, trying to make the change in advance not just hours prior tried it online earlier and it wanted in change fees 
positive, so loyal that i m driving to #nyc from #pato fly virginsince you cut #philly flights
neutral, any way to change from main cabin to main cabin select on same flight without paying a change fee penalty 
positive, you guys are perfect as always#wervirgin
positive, thanks y all have some of the best customer service left in the industry 
neutral, can you give me silver status for months 
positive, really wish you d fly out of #fargo @fargoairport those fares are amazings
negative, mood lighting on point reclining my seatkickin up my feet💤 
negative, my flight scheduled forpm departure still says on time but no plane at gate any update on how long of a delay 
negative, my group got their cancelled flightlation fees waived but i can t because my ticket is booked for your reps were no help either 
neutral, are there any sign up bonuses to enroll in elevate 
positive, just got on thepm in newark home to la your folks at ewr are incredible #letsgohome
neutral, morning if i have a question regarding elevate pointsflights can iyou 
neutral, still waiting to see @starryeyes_dev_ 
neutral, was wondering if you guys recieved myand we re able to potentially respond asap
